ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	105	32691	-999999	0	35	33531	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	18	44192	-19	46173	0	1
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	105	32691	-999999	0	35	33531	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	18	46192	-19	48173	0	2
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	105	32691	-999999	0	35	33531	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	3	48177	-4	50173	0	3
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	105	32691	-999999	0	35	33531	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	16	50190	-17	52173	0	4
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	23	Cue2BackPROC	""	2	2	2	SessionSelectionList									15	52189	-16	0																																													2												
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	3	SessionSelectionList														nonlure	3	Tools	2-Back	2	80	1	0	0	0	1	53	56801	3	13	74	54748	-1	55322	1	574	3	3	2053	66	56814	-67	0																3												
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	24	TrialsPROC	TO_013_TOOL13_BA.png	2	2	4	SessionSelectionList														nonlure	3	Tools	2-Back	3	80	2	0	0	0	2	39	59346	3	14	59	57307	-1	58285	1	978	3	3	2039	53	59360	-54	0																4												
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	5	SessionSelectionList														nonlure	3	Tools	2-Back	4	80	3	0	0	0	3	40	61919	1	13	72	59879	-1	60958	1	1079	3	3	2040	53	61932	-54	0																5												
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	6	SessionSelectionList														lure	3	Tools	2-Back	5	80	4	0	0	0	4	39	64491	1	14	73	62452	-1	63812	1	1360	3	3	2039	53	64505	-54	0																6												
WM080112	101309_fnca	2	1	1	-2081020907	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1117.6	1	753.6	1	1113.1	1	723.8	1	1048.3	1	680.2	1	1006.7	1	747.1	12	337619	2	337608	14	26	337633	-999999	337621	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	7	SessionSelectionList														target	2	Tools	2-Back	6	80	5	0	0	0	1	39	67050	1	14	59	65011	-1	65970	1	959	2	2	2039	53	67064	-54	0																7												
