ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	1	TRSyncPROC	""	1	2	1	SessionSelectionList	99	10907	-999999	0	34	112864	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	16	125352	-17	127335	0	1
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	1	TRSyncPROC	""	1	2	1	SessionSelectionList	99	10907	-999999	0	34	112864	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	16	127352	-17	129335	0	2
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	1	TRSyncPROC	""	1	2	1	SessionSelectionList	99	10907	-999999	0	34	112864	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	15	129351	-16	131335	0	3
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	1	TRSyncPROC	""	1	2	1	SessionSelectionList	99	10907	-999999	0	34	112864	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	14	131350	-15	133335	0	4
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	2	Cue2BackPROC	""	1	2	2	SessionSelectionList									13	133349	-14	0																																													2												
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	3	TrialsPROC	BP_002_BP10_BA.png	1	2	3	SessionSelectionList													1	nonlure	3	Body	2-Back	2	80	1	0	0	0	1	52	137960	3	14	72	135908	-1	136966	1	1058	3	3	2052	66	137974	-67	0																3												
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	3	TrialsPROC	BP_001_BP1_BA.png	1	2	4	SessionSelectionList													2	nonlure	3	Body	2-Back	3	80	2	0	0	0	2	39	140519	3	14	72	138480	-1	139759	1	1279	3	3	2039	53	140533	-54	0																4												
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	3	TrialsPROC	BP_006_BP2_BA.png	1	2	5	SessionSelectionList													3	nonlure	3	Body	2-Back	4	80	3	0	0	0	1	39	143078	2	14	59	141039	-1	141955	0	916	2	3	2039	53	143092	-54	0																5												
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	3	TrialsPROC	BP_001_BP1_BA.png	1	2	6	SessionSelectionList													4	target	2	Body	2-Back	5	80	4	0	0	0	1	40	145651	1	13	72	143611	-1	145060	0	1449	3	2	2040	53	145664	-54	0																6												
WM080112	105014_fnca	1	1	1	1842763103	1	75.036	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.6	1314.66666666667	1	717.5	0.9	856.111111111111	1	895.7	1	1055.3	1	667.9	0.9	1044	1	607.9	13	418911	2	418899	14	27	418925	-999999	418914	0	3	TrialsPROC	BP_005_BP19_BA.png	1	2	7	SessionSelectionList													5	nonlure	3	Body	2-Back	6	80	5	0	0	0	2	39	148223	1	13	73	146184	-1	147747	1	1563	3	3	2039	52	148236	-53	0																7												
