bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
P80_task-rl_run-1_bold	0.001605487	0.012857452	1	23.18619085	1.185771651	0.96994102	0.359138833	25056.37891	0.169147006	157	37.29216152	2.574479852	2.330059776	2.90323978	2.49014	0.00574049	-0.020869114	0.005040463	421	82	82	56	4.894436765	1	3.024390221	3.024390221	3	45.98695477	1.781939983	9.425963402	2.068883657	289013	0.650831401	44.65558243	24.15524483	3.635307744	47.99264145	326.255188	334.406189	38506	193.29039	414.4495392	68.32284546	58.41103363
P80_task-rl_run-2_bold	0.002508673	0.012177692	0	22.78628669	1.165647386	0.984003552	0.360173526	24663.88281	0.171782268	165	39.09952607	2.581650775	2.338802034	2.915476958	2.490673333	0.0248436	-0.020987736	0.004605912	422	82	82	56	4.894887127	1	3.024390221	3.024390221	3	45.13506569	1.809336782	9.584956169	2.087677717	288851	0.646919429	45.7571106	24.61841965	3.641428809	47.84729004	326.6445618	334.8163452	38570	194.7924271	415.3395782	68.40035248	57.51496124
P80_task-rl_run-3_bold	0.001440665	0.009064222	1	22.53197346	1.224762744	1.013987707	0.361572278	23887.93164	0.174310562	175	41.56769596	2.575407693	2.338352357	2.907224055	2.480646667	0.0229572	-0.021439075	0.00468931	421	82	82	56	4.804154254	1	3.024390221	3.024390221	3	42.4945599	1.820677876	9.752252579	2.114014387	288748	0.674584329	46.74739056	24.91612434	3.629494241	48.20394135	325.2796326	333.6496582	38688	189.8354012	415.0046524	69.44934082	66.02895355
P80_task-rl_run-4_bold	0.00165658	0.008005729	1	22.31899647	1.234507265	1.017501331	0.362499625	23152.00586	0.158083776	130	30.87885986	2.568565067	2.336325502	2.8925897	2.47678	0.024424	-0.021718841	0.004672778	421	82	82	56	4.799674884	1	3.024390221	3.024390221	3	43.59262319	1.852372289	9.902556419	2.142517805	288709	0.676959634	47.91354065	25.25346565	3.564558472	48.57019806	325.2146606	333.4810181	38644	189.3877754	415.2395721	69.47901917	69.42853546
P80_task-rest_bold	0.002606508	0.01041837	2	23.0975045	1.2575203	1.037127101	0.36317156	23061.2207	0.153257826	160	27.11864407	2.600480309	2.367660744	2.926970184	2.50681	0.0369592	-0.021880092	0.004254182	590	82	82	56	4.768569858	1	3.024390221	3.024390221	3	43.11393265	1.859534979	10.01027203	2.15423727	288489	0.686440647	48.82915268	25.50406075	3.438214185	48.7914505	325.8102417	334.4542236	38810	186.3708466	415.6254898	70.13631439	60.25004196
P15_task-rl_run-1_bold	0.000625829	0.007717699	0	24.32865947	1.27894834	0.999031791	0.42378277	17897.16406	0.140729095	61	14.4549763	2.465352109	2.194445662	2.732160666	2.46945	0.0321853	-0.020318795	0.037003055	422	82	82	56	5.367371401	1	3.024390221	3.024390221	3	32.45143467	3.049523354	14.39780807	3.310426712	267065	0.945497692	69.74123383	31.90973854	4.458142235	61.9601326	447.3867493	456.1445923	55632	301.7046204	559.856427	84.98396301	66.55365753
P15_task-rl_run-2_bold	0.000629502	0.007245313	0	23.56005699	1.280870355	1.001784933	0.424511199	17339.61914	0.126256981	26	6.161137441	2.471291142	2.205254452	2.730728973	2.47789	0.0185331	-0.020421026	0.037412904	422	82	82	56	5.316635432	1	3.024390221	3.024390221	3	31.61337656	3.102222443	14.58965969	3.357820034	266992	0.950236976	70.83519363	32.11017609	4.277795751	62.78574753	446.5838013	455.2843628	55626	297.2434998	560.3400726	85.63315582	69.8147583
P15_task-rl_run-3_bold	0.000594905	0.007417013	0	21.62394115	1.219381783	1.0006768	0.426088943	16826.49219	0.135840726	64	15.16587678	2.459773113	2.194095178	2.718200827	2.467023333	0.038953	-0.021031521	0.03945611	422	82	82	56	5.391393902	1	3.024390221	3.024390221	3	31.21346572	3.168974638	15.02162933	3.412322521	267139	0.957346022	73.3628006	32.82302094	4.257609162	62.32024002	447.5271606	455.9490662	55476	300.3625717	560.0959778	84.56903076	69.31793976
P15_task-rl_run-4_bold	0.000645664	0.00732799	0	22.08374268	1.234435411	1.000952589	0.426430505	16413.70117	0.132198191	43	10.18957346	2.473200954	2.20975784	2.726705021	2.48314	0.0329329	-0.021244455	0.039981447	422	82	82	56	5.299447358	1	3.024390221	3.024390221	3	29.68266217	3.214647055	15.13801575	3.450237036	267160	0.964455009	74.2938385	32.93543243	4.210124358	63.06679153	446.5115356	455.2061768	55527	295.2628143	560.778949	85.89614105	68.57008362
P15_task-rest_bold	0.000704899	0.008036302	0	19.63023728	1.172167361	0.998885662	0.429324385	15584.47754	0.133478553	99	16.72297297	2.474365685	2.215256469	2.725610585	2.48223	0.0276617	-0.022392074	0.043926161	592	82	82	56	5.271175213	1	3.024390221	3.024390221	3	28.0262313	3.333350897	15.68289185	3.532094717	266952	0.966216266	77.70853348	33.46831131	4.253668603	62.57736969	445.2163696	454.3716431	55721	291.5675659	558.9949341	86.1985321	65.75814819
