Group,pid,Name.1,Name.2,Name.3,Response,Key,Released,Response.1,Code,Time,(Trial Variable),Finger,Congruence,Repeated,Correct,double_response,questionnaire_1,questionnaire_2,questionnaire_3,questionnaire_4,questionnaire_5,questionnaire_6,questionnaire_7,questionnaire_8,questionnaire_9,questionnaire_10
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,756,,1,4,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Blue (10, m5base.bmp)",middle,b,Released,(based on code value),C,663,,2,0,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,532,,1,3,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,616,,1,0,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,536,,1,2,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,505,,1,1,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,830,,2,2,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,550,,2,3,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,676,,2,4,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,677,,2,1,1,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Final_Stage (9, i4base.bmp)",index,v,Released,(based on code value),C,539,,1,0,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,528,,2,3,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,655,,2,1,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,757,,2,4,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,566,,1,1,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,994,,2,2,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Blue (10, m5base.bmp)",middle,b,Released,(based on code value),C,734,,2,0,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,522,,1,2,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Blue (5, i5con.bmp)",index,v,Released,(based on code value),C,679,,1,3,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,702,,1,4,2,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Final_Stage (10, m4base.bmp)",middle,b,Released,(based on code value),C,513,,2,0,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,495,,1,1,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,494,,2,3,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,664,,2,4,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,723,,1,4,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,626,,1,0,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,863,,2,2,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,551,,1,3,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,585,,2,1,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,550,,1,2,3,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Final_Stage (10, m4base.bmp)",middle,b,Released,(based on code value),C,521,,2,0,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,492,,1,2,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,688,,2,4,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Blue (6, m5con.bmp)",middle,b,Released,(based on code value),C,733,,2,3,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,572,,1,4,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,682,,1,0,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,981,,2,2,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,612,,2,1,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Blue (1, i5basecon.bmp)",index,v,Released,(based on code value),C,597,,1,1,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,498,,1,3,4,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,607,,1,0,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,547,,1,2,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,544,,2,3,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,556,,1,1,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,515,,1,3,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,1639,,1,4,5,,0,62,22,74,37,62,32,46,56,43,78
